	Pd1*	Pd2*	Pd3*	Pd4*	Pd4_3&1*	Pd5*	Pd5_4&1*	Pd6_1*	Pd6_2*	Pd6_3*	Pd6_4&2*	Pd6_5&1*	Pd7_1*	Pd7_2*	Pd7_3*	Pd7_4*	Pd7_5&2*	Pd7_6_1&1*	Pd7_6_2&1*	Pd7_6_3&1*	t
104	1.6	109.8	56.9	11.8	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.0400000000000007
105	1.6	109.8	56.9	11.8	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.0500000000000007
106	1.6	109.8	56.9	11.8	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.0600000000000007
107	1.6	109.8	56.9	11.8	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.0700000000000005
108	1.6	109.8	56.9	11.8	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.0800000000000005
109	1.6	109.8	56.9	11.8	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.0900000000000005
110	1.5	109.7	57.0	11.8	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.100000000000001
111	1.6	109.6	56.9	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.110000000000001
112	1.6	109.6	56.9	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.1200000000000008
113	1.6	109.6	56.9	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.1300000000000008
114	1.6	109.6	56.9	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.1400000000000008
115	1.6	109.6	56.9	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.1500000000000006
116	1.5	109.5	57.0	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.1600000000000006
117	1.5	109.5	57.0	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.170000000000001
118	1.5	109.5	57.0	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.180000000000001
119	1.4	109.4	57.1	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.190000000000001
120	1.3	109.3	57.2	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2000000000000008
121	1.2	109.2	57.3	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2100000000000009
122	1.2	109.2	57.3	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2200000000000009
123	1.2	109.2	57.3	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2300000000000006
124	1.2	109.2	57.3	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2400000000000007
125	1.2	109.2	57.3	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2500000000000007
126	1.1	109.1	57.4	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2600000000000011
127	1.1	109.1	57.4	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.2700000000000011
128	1.1	109.1	57.4	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.280000000000001
129	1.1	109.1	57.4	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.290000000000001
130	1.1	109.1	57.4	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.300000000000001
131	1.1	109.1	57.4	11.9	0.2	1.1	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	1.3100000000000007
